; ： ；
;a ！
qupn 取票
qups 袪
qupu 曲谱
qupw 翘首盼望
quq 躯壳
quqb 娶亲
quqi 娶妻
quqj 轻手轻脚
quqm 取钱
quqn 取巧
quqq 怯声怯气
ququ 区区
qur 佢
qurh 气势如虹 巧舌如簧
quri 去日
qurj 佢
qurn 请神容易送神难
quru 屈辱
qus 去死
qush 情深似海
qusi 去死
qusj 驱散
qusv 去岁
qusx 欺霜赛雪
qut 趣
qute 趋
quth 切身体会
quti 躯体
qutj 祛痰
qutk 潜水艇
qutq 坥
quts 趋同
qutt 漆身吞炭
qutx 𫭟
quty 趣
quu 屈
quue 取舍
quuf 屈伸 屈身
quug 取胜
quui 趋势
quum 磲
quuq 全胜时期
quux 躯
quv 龋
quve 曲折
quvg 取证
quvh 区长 敲山震虎
quvi 曲直
quvu 驱逐
quvy 龋
quw 璩
quwb 求神问卜
quwf 趣闻
quwh 去往
quwu 千山万水
quww 趣味
quwx 欺上罔下
quwy 气煞我也
qux 取笑
quxb 取信
quxi 屈膝
quxl 去向
quxm 曲线
quxn 取消
quxp 驱邪
quxx 取下 气势汹汹
quxy 轻声细语
quy 诎
quyd 翘首以待
quye 企事业
quyh 取样
quyi 曲艺
quym 清水衙门
quyp 翘首以盼
quyq 情深缘浅
quyr 屈原
quys 取用
quyt 取悦
quyu 区域 趋于
quyv 情深义重
quyw 企事业单位
quyz 青山依旧在
quz 取走
quzi 曲子
quzy 屈尊
quzz 取走
qv 其中
qva 勤政爱民
qvam 勤政爱民
qvb 求之不得
qvbd 求之不得
qvbg 却之不恭
qvbj 取之不尽
qvbk 七折八扣
qvbt 牵着不走，打着倒退
qvbu 穷追不舍
qvby 弃之不用
qvbz 牵着鼻子走
qvc 强制措施
qvcu 强制措施
qvd 起征点
qvdb 乔装打扮
qvdi 浅斟低唱
qvdm 起征点
qvdv 轻重倒置
qvdy 枪支弹药
qvf 区政府
qvfu 区政府
qvg 敲竹杠
qvgg 齐抓共管
qvgh 敲竹杠
qvgu 强中更有强中手
qvh 轻重缓急
qvhg 前瞻后顾
qvhj 轻重缓急
qvhq 欠债还钱
qvhw 秦砖汉瓦
qvj 起重机
qvjc 轻装简从
qvji 起重机
qvjm 驱逐舰
qvk 屈指可数
qvku 屈指可数
qvkx 弃之可惜
qvl 清正廉洁
qvlj 清正廉洁
qvls 敲诈勒索
qvm 穷追猛打
qvmd 穷追猛打
qvn 青壮年
qvnm 青壮年
qvnu 罄竹难书
qvq 且战且退
qvqt 且战且退
qvr 曲终人散
qvrj 弃之如敝屐
qvrl 弃之如敝履
qvrs 曲终人散
qvrw 趋之若鹜
qvs 清真寺
qvsi 清真寺
qvsv 情之所钟
qvtk 亲者痛仇者快
qvu 轻装上阵
qvub 切中时弊
qvuh 气壮山河
qvuj 起止时间
qvut 缺肢少腿
qvuv 轻装上阵
qvv 其中之一
qvvy 其中之一
qvw 求真务实
qvwq 千真万确
qvwu 求真务实
qvwy 曲折蜿蜒
qvx 强制性
qvxk 强制性
qvxm 旗帜鲜明
qvy 求知欲
qvyb 奇珍异宝
qvyd 取之有道
qvyf 奇装异服
qvyg 其中一个
qvyh 切中要害
qvym 取之于民
qvyq 情真意切
qvys 掐指一算
qvyu 求知欲
qvz 前阵子
qvzi 前阵子
qvzq 清者自清
qvzu 强中自有强中手
qw 千万
qwb 七歪八扭
qwbg 七弯八拐
qwbn 七歪八扭
qwby 千万不要
qwc 去伪存真
qwcj 去芜存菁
qwcv 去伪存真
qwd 请勿打扰
qwdr 请勿打扰
qwg 前无古人
qwgr 前无古人
qwgu 奇文共赏
qwh 趣味横生
qwhu 趣味横生
qwm 区位码
qwma 区位码
qwn 起舞弄清影
qwny 起舞弄清影
qwq 千万千万
qwqw 千万千万
qwr 权威人士
qwru 权威人士
qwu 悄无声息
qwui 全无是处
qwux 悄无声息
qwv 期望值
qwvi 期望值
qww 其味无穷
qwwq 其味无穷
qwx 权威性
qwxg 全无心肝
qwxk 趣味性
qwxt 趣味相投
qwy 趣闻轶事
qwyu 趣闻轶事
qx 恰
qxb 其心必异
qxby 其心必异
qxc 葜
qxcc 群星璀璨
qxcd 葜
qxd 洽
qxdh 恰当
qxdk 洽
qxdl 情绪低落
qxdn 掐掉
qxdq 牵线搭桥
qxdr 掐断
qxdv 亲兄弟明算账
qxf 掐
qxfb 拤
qxfg 恰逢
qxfj 掐
qxg 髂
qxgj 群雄割据
qxgk 髂
qxgv 奇形怪状
qxgy 清心寡欲
qxgz 洽购
qxh 情绪化
qxhc 恰好
qxhl 齐心合力
qxhw 勤学好问
qxhx 情绪化
qxj 气象局
qxjd 情绪激动
qxje 穷凶极恶
qxjg 曲线救国
qxju 谦虚谨慎
qxjx 穷形极相
qxjz 抢险救灾
qxk 卡壳
qxke 卡壳
qxkl 勤学苦练
qxkv 其心可诛
qxl 取消了
qxle 取消了
qxn 前些年
qxnm 前些年
qxp 袷
qxpk 袷
qxpr 穷乡僻壤
qxq 恰恰
qxqn 恰巧
qxqx 恰恰
qxqy 全心全意
qxr 恰如
qxrk 求贤若渴
qxrl 其臭如兰
qxru 恰如
qxs 恰似
qxsi 恰似
qxsr 掐算
qxt 前些天
qxtd 气象台
qxtj 洽谈
qxtm 前些天
qxts 清新脱俗
qxtu 曲线图
qxu 卡
qxub 卡
qxuf 缺心少肺
qxuh 洽商
qxuu 全校师生
qxv 掐住
qxvi 裙下之臣
qxvl 群雄逐鹿
qxvu 掐住
qxvy 潜心专研
qxw 千辛万苦
qxwk 千辛万苦
qxwq 气象万千
qxwy 确信无疑
qxx 恰
qxxk 恰
qxxl 齐心协力
qxy 倾向于
qxyb 抢先一步
qxyd 浅显易懂
qxye 缺心眼儿
qxyj 缺心眼
qxym 取信于民
qxyr 巧笑嫣然
qxyu 趋向于
qxyv 泉下有知
qxyy 气息奄奄
qxz 卡子
qxzi 卡子
qy 群
qyb 晴雨表
qybf 轻徭薄赋
qybk 缺一不可
qybn 晴雨表
qybu 千依百顺
qyby 前言不搭后语
qyc 去一次
qycc 去也匆匆
qyci 去一次
qycl 岂有此理
qyd 前一段
qydc 群岛
qydd 裙带
qydr 前一段
qydv 情有独钟
qydw 企业单位
qyf 七月份
qyfa 群发
qyff 七月份
qyfi 曲意奉承
qyfq 轻言放弃
qyfu 趋炎附势 牵一发而动全身
qyfy 曲意逢迎
qyg 麇
qygh 麇
qygl 企业管理
qygo 奇异果
qygy 奇言怪语
qyh 区域化
qyhc 群号
qyhg 前因后果
qyhh 前仰后合
qyhm 轻于鸿毛
qyhv 全运会
qyhx 强颜欢笑
qyhy 前言后语
qyi 秋月春风
qyif 秋月春风
qyir 取义成仁
qyj 企业家
qyjc 犬牙交错
qyjn 裙角
qyju 群居
qyjx 群架
qyk 囷
qykh 囷
qyku 裙裤
qyky 情有可原
qykz 群口
qyl 强有力
qyli 强有力
qyll 请原谅
qyln 群聊
qylo 群落
qyls 巧言令色
qym 群名
qymh 潜移默化
qymk 群名
qymm 情意绵绵
qyo 群殴
qyou 群殴
qyp 裙
qypk 裙
qypv 欠一屁股债
qyq 瞧一瞧
qyqn 瞧一瞧
qyqu 确有其事
qyr 巧言如簧
qyrh 巧言如簧
qys 清一色
qyse 清一色
qysj 亲眼所见
qysu 企业所得税
qyt 群体
qyti 群体
qytx 窃玉偷香
qyu 潜意识
qyui 潜意识
qyuj 群山
qyul 潜意识里
qyuu 缺衣少食
qyv 群众
qyvf 前一阵
qyvj 权宜之计
qyvs 群众
qyvu 群主
qyvz 前一阵子
qyw 前一晚
qywd 趋于稳定
qywh 企业文化
qywj 前一晚
qywy 千言万语
qyx 区域性
qyxa 器宇轩昂
qyxj 青眼相加
qyxk 群星
qyxs 群雄
qyxt 气焰熏天
qyxv 气焰嚣张
qyxy 逡巡 轻言细语
qyy 起源于
qyyf 穷于应付
qyyj 青眼有加
qyyk 群英
qyyn 求爷爷告奶奶
qyyu 其言也善
qyyy 群
qyyz 群友
qyz 逡
qyzi 裙子
qyzu 群组
qyzw 逡
qz 亲自
qza 潜滋暗长
qzav 潜滋暗长
qzb 签字笔
qzbi 签字笔
qzbt 千姿百态
qzbu 七嘴八舌
qzd 全自动
qzds 全自动
qzdu 穷则独善其身
qzg 青藏高原
qzgy 青藏高原
qzh 签字画押
qzhy 签字画押
qzi 亲自出马
qzim 亲自出马
qzjd 亲子鉴定
qzm 起早摸黑
qzmh 起早摸黑
qzn 千载难逢
qznf 千载难逢
qznw 穷在闹市无人问
qzq 擒贼擒王
qzqw 擒贼擒王
qzs 穷则思变
qzsb 穷则思变
qzt 起早贪黑
qzth 起早贪黑
qzw 确凿无疑
qzwy 确凿无疑
qzx 擒贼先擒王
qzxw 擒贼先擒王
qzy 起作用
qzys 起作用
qzyt 蜷作一团
r 人 入
ra 热爱
rb 日本
rbd 容不得
rbde 容不得
rbdg 肉包打狗
rbf 入不敷出
rbfi 入不敷出
rbfr 人不犯我，我不犯人
rbfw 人不犯我
rbg 日本鬼子
rbgz 日本鬼子
rbh 人比花娇
rbhj 人比花娇
rbi 认不出
rbiu 认不出
rbj 弱不禁风
rbjf 弱不禁风
rbk 人不可貌相，海水不可斗量
rbkd 锐不可当
rbkl 人不可貌相，海水不可斗量
rbkx 人不可貌相
rbl 饶不了
rblg 日不落帝国
rbln 饶不了
rbq 惹不起
rbqi 惹不起
rbqq 惹不起还躲不起
rbr 让不让
rbre 热不热
rbrg 人不如故 人不人鬼不鬼
rbrh 让不让
rbrr 让不让人
rbru 认不认识
rbry 容不容易
rbu 若不是
rbui 若不是
rbuv 如臂使指
rbv 忍不住
rbvu 忍不住
rbw 人不为己
rbwj 人不为己
rbwm 人不为己，天诛地灭
rbx 容不下
rbxj 日不暇给
rbxr 人不像人
rbxu 日薄西山
rbxx 容不下
rbz 肉包子打狗
rbzg 肉包子打狗
rc 绕
rcb 人才辈出
rcbi 人才辈出
rcc 荛
rccw 荛
rcd 绕道
rcdc 绕道
rcds 扰动
rce 如此而已
rcey 如此而已
rcf 扰
rcfy 扰
rcg 绕过
rcgo 绕过
rch 人才荟萃
rchc 人才荟萃
rci 绕场
rcih 绕场
rcj 人才济济
rcjj 人才济济
rck 绕开
rckd 绕开
rckl 如此看来
rcl 扰乱
rcle 饶了
rclk 人财两空
rclr 扰乱
rclu 绕路
rcm 桡
rcmb 扰民
rcmk 饶命
rcmw 桡
rcn 娆
rcnw 娆
rcq 绕圈
rcqr 绕圈
rcr 饶人
rcrf 饶人
rcrh 扰攘
rcs 绕
rcsw 绕
rcu 饶
rcue 饶舌
rcuh 如此甚好
rcul 如此说来
rcuu 饶恕
rcuw 饶
rcv 绕着
rcvb 如此这般
rcvd 如此之多
rcve 绕着
rcvj 冗词赘句
rcw 绕弯
rcwj 绕弯
rcx 绕行
rcxk 绕行
rcxz 如此下作
rcy 绕远
rcyl 如此一来
rcyr 绕远
rcz 绕嘴
rczv 绕嘴
rd 认得
rdd 肉嘟嘟
rddb 人大代表
rddu 人多地少
rde 任督二脉
rdem 任督二脉
rdg 肉毒杆菌
rdgj 肉毒杆菌
rdh 惹的祸
rdhh 人多好干活
rdho 惹的祸
rdl 人多力量大
rdld 人多力量大
rdr 人淡如菊
rdrj 人淡如菊
rdu 人多势众
rdut 人定胜天
rduu 人地生疏
rduv 人多势众
rdv 人道主义
rdvy 人道主义
rdw 入地无门
rdwm 入地无门
rdy 热带鱼
rdyl 热带雨林
rdyu 热带鱼
rdz 人多嘴杂
rdzz 人多嘴杂
re 热 惹
rea 热爱
reai 热爱
reb 热播
rebo 热播
rec 惹
recd 热菜
reci 热词
recx 惹
red 热点
redd 热带
redm 热点
redu 热度
ref 热
refg 热风
refh 热
refu 热敷
reg 热狗
regz 热狗
reh 惹祸
reho 惹祸
rehu 热乎
rei 热诚
reia 热茶
reic 热潮
reif 热忱
reig 热诚
rej 热键
reji 惹急
rejm 热键
rek 喏
rekk 喏
rel 热烈
rela 热辣
relh 热浪
reli 热力
rell 热量
relm 热恋
relp 热烈
relq 热流
relw 热泪
rem 日耳曼
remd 热卖
remf 热门
remj 日耳曼
ren 热闹
renc 热闹
reng 热能
renu 惹怒
rep 热评
repk 热评
req 热情
reqi 热气
reqk 热情
reqp 热切
rer 惹人
rere 热热
rerf 惹人
res 热死
resi 热死
resz 热搜
ret 热土
reth 热汤
retm 热天
retu 热土
reu 热身
reuf 热身
reuh 惹上
reui 惹事
reuv 热水
rev 热衷
revs 热衷
rew 热吻
rewf 热吻
rewh 热望
rewu 热舞
rex 热心
rexb 热心
rexm 热线
rexn 热销
rext 热血
rey 惹眼
reyb 热饮
reyi 热议
reyj 惹眼
rf 任 忍
rfa 仁爱
rfai 仁爱
rfc 荏
rfcd 人才
rfci 仁慈
rfcm 人非草木
rfco 认错
rfcr 荏
rfd 刃
rfda 人大
rfdc 人道
rfdd 韧带
rfde 认得
rfdk 认定
rff 人防
rffa 认罚
rffh 人防
rffj 人犯
rfg 人工
rfge 人格
rfgs 人工
rfgu 认股
rfgz 认购
rfh 稔
rfhd 人海
rfhe 任何
rfhh 人行
rfho 人祸
rfhx 稔
rfhz 仁厚
rfi 轫
rfic 人潮
rfig 人称
rfir 仁川
rfiu 认出
rfj 人家
rfjb 韧劲
rfji 人际
rfjk 人精
rfjm 人间
rfjn 任教
rfjp 人杰
rfjx 人家
rfjy 人均
rfk 人口
rfke 认可
rfkz 人口
rfl 忍了
rfle 认了
rfli 人力
rflk 认领
rflq 人流
rflu 认路
rflw 人类
rfly 人伦
rfm 人民
rfma 人马
rfmb 人民
rfmd 人脉
rfmf 人们
rfmk 任命
rfmm 任免
rfn 妊
rfnc 人脑
rfnd 忍耐
rfnr 妊
rfp 壬
rfpb 人品
rfpk 任凭
rfpn 人
rfpr 衽
rfpu 壬
rfpv 如法炮制
rfq 壬
rfqa 壬
rfqi 人气
rfqk 人情
rfqr 人权
rfqy 人群
rfr 忍
rfre 仁
rfrf 忍忍
rfrh 忍让
rfrj 荏苒
rfrr 仞
rfru 忍辱
rfrx 忍
rfrz 人肉
rfs 纫
rfsr 纴
rfss 认怂
rft 认同
rfti 人体
rfts 认同
rftz 人头
rfu 饪
rfuf 人参
rfug 人生
rfui 认识
rfur 饪
rfuu 认输
rfux 人非圣贤
rfuz 忍受
rfv 任职
rfva 人渣
rfve 忍着
rfvf 认真
rfvg 认证
rfvh 认账
rfvi 认知
rfvs 人种
rfvu 忍住
rfvy 认准
rfw 韧
rfwf 人文
rfwr 韧
rfwu 人物
rfww 认为
rfx 人性
rfxb 忍心
rfxk 任性
rfxl 人像
rfxr 人选
rfxs 仁兄
rfy 认
rfy/ 讱
rfyc 人妖
rfyh 认养
rfyi 任意
rfyj 人烟
rfyk 人影
rfyr 人员 日复一日
rfys 任用
rfyu 人浮于事
rfyz 任由
rfz 人贩子
rfzc 人造
rfzi 认字
rfzv 认罪
rg 仍 扔
rgd 扔到
rgdc 扔到
rgdn 扔掉
rgf 扔
rgfn 扔
rgg 扔给
rggl 荣归故里
rggw 扔给
rgh 仍会
rghf 容光焕发
rghv 仍会
rghx 人工呼吸
rgi 扔出
rgiu 扔出
rgj 仍旧
rgjb 扔进
rgjq 仍旧
rgjy 人工降雨
rgk 仍可
rgke 仍可
rgl 扔了
rgle 扔了
rglm 人过留名
rglu 人过留名，雁过留声
rgly 热锅里的蚂蚁
rgm 人高马大
rgmd 人高马大
rgn 仍能
rgng 仍能
rgnh 若干年后
rgq 绕个圈
rgqi 扔弃
rgqr 绕个圈
rgr 仍
rgrj 仍然
rgrn 仍
rgs 如隔三秋
rgsq 如隔三秋
rgu 仍是
rgui 仍是
rguj 人工授精
rguy 热锅上的蚂蚁
rgv 人工智能
rgvn 人工智能
rgw 仍未
rgww 仍未
rgx 扔下
rgxx 扔下
rgy 日光浴
rgyc 仍要
rgyi 仍以
rgyu 日光浴
rgyv 人各有志
rgz 如鲠在喉
rgzh 如鲠在喉
rh 让
rhb 让步
rhbu 让步
rhc 蘘
rhcy 蘘
rhd 瀼
rhdc 让道
rhdy 瀼
rhf 攘
rhfg 荣华富贵
rhfy 攘
rhg 让给
rhgt 融会贯通
rhgw 让给
rhh 穰
rhhj 日后好相见
rhhu 热乎乎
rhhy 穰
rhi 让出
rhit 热火朝天
rhiu 让出
rhj 热乎劲
rhjb 热乎劲
rhk 嚷
rhkd 让开
rhky 嚷
rhl 让路
rhli 让利
rhlu 让路
rhm 人欢马叫
rhmj 如花美眷
rhmm 人海茫茫
rhn 如何呢
rhne 如何呢
rhp 禳
rhpy 禳
rhq 让其
rhqi 让其
rhr 任何人
rhrf 让人
rhrh 嚷嚷
rhrt 如火如荼
rhry 儴
rhs 如花似玉
rhsd 如花似朵
rhsj 如花似锦
rhsy 如花似玉
rht 壤
rhty 如虎添翼
rhu 任何事
rhuh 如何是好
rhui 任何事
rhuu 惹火烧身
rhv 如获至宝
rhvb 如获至宝
rhvu 人海战术
rhw 瓤
rhwg 瓤
rhww 让位
rhx 让贤
rhxm 让贤
rhy 让
rhyu 人活一世
rhz 让座
rhzo 让座
ri 日
rib 日程表
ribc 日报
ribf 日本
ribj 日班
ribn 日程表
rie 日出而作
riez 日出而作
rif 入场费
rifw 入场费
rig 日光
rigl 日光
rigv 日晷
rih 日后
rihj 日韩
rihx 日化
rihz 日后
rii 日常
riig 日程
riih 日常
riij 日产
riiu 日出
rij 日渐
riji 日记
rijm 日渐
rijp 日结
rijq 日久
riju 日剧
rijy 日均
rik 日
rika 日
rikz 日寇
ril 日历
rili 日历
rilo 日落
rim 日暮
rimm 日冕
rimo 驲
rimu 日暮
rin 日内
rinw 日内
riq 入场券
riqi 日期
riqm 日前
riqr 入场券
riqu 日趋
rir 日日
rirh 人潮人海
riri 日日
rirk 如痴如狂
rirz 如痴如醉
rise 日色
rit 日头
ritz 日头
riu 日晒
riud 日晒
riuh 日常生活
riui 日食
riv 日照
rivc 日照
rivf 日臻
rivi 日志
riw 日文
riwf 日文
riwh 人畜无害
rix 日线
rixb 日薪
rixm 日线
rixx 日下
rixy 人潮汹涌
riy 日夜
riye 日夜
riyi 日益
riyr 日元
riys 日用
riyt 日月
riyu 日语
riyv 如出一辙
riyy 日常用语
riz 日子
riza 日杂
rizi 日子
rj 然
rja 髯
rjae 忍饥挨饿
rjar 髯
rjb 染病
rjbh 如假包换
rjbj 忍俊不禁
rjbk 染病
rjc 苒
rjcr 苒
rjd 染
rjdj 日进斗金
rjdl 人杰地灵
rjdm 燃点
rjdu 染毒
rjdy 人间地狱
rje 然而
rjer 然而
rjf 染发
rjfa 染发
rjfh 燃放
rjfp 人间凡品
rjfz 然否
rjg 染缸
rjgh 染缸
rjgx 人际关系
rjh 燃
rjhh 燃
rjhs 染红
rjhv 人迹罕至
rjhz 然后
rji 蚺
rjir 蚺
rjj 燃具
rjjb 燃尽
rjju 燃具
rjjv 人尽皆知
rjjw 人际交往
rjjx 日久见人心
rjl 冉
rjla 冉
rjln 燃料
rjm 肉夹馍
rjmo 肉夹馍
rjmw 人间美味
rjn 日久年深
rjnu 日久年深
rjp 软键盘
rjph 然
rjpj 软键盘
rjq 燃气
rjqc 人尽其才
rjqi 燃气
rjqj 日进千金
rjqr 如见其人
rjqy 人尽其用
rjr 䎃
rjra 人见人爱
rjrj 冉冉
rjrk 人见人爱花见花开
rjrl 若即若离
rjrx 䎃
rjs 染色
rjse 染色
rjsk 如饥似渴
rjsq 如胶似漆
rjt 日久天长
rjti 日久天长
rju 燃烧
rjuc 燃烧
rjuh 染上
rjuq 日久生情
rjuw 日渐式微
rjv 染指
rjva 燃炸
rjvi 染指
rjvq 人间重晚晴
rjvu 人急智生
rjw 入境问俗
rjwj 日进万金
rjws 入境问俗
rjy 燃油
rjyh 人间烟火
rjyj 日就月将
rjyl 日积月累
rjyv 人皆有之
rjyz 燃油
rjz 然则
rjze 然则
rjzx 如箭在弦
rk 认可
rkj 入口即化
rkjh 入口即化
rkl 绕口令
rklk 绕口令
rkm 人困马乏
rkmf 人困马乏
rkq 热空气
rkqi 热空气
rkr 让开让开
rkrk 让开让开
rkv 人口众多
rkvd 人口众多
rky 人靠衣装
rkya 人靠衣装马靠鞍
rkyv 人靠衣装
rl 人类
rlb 如履薄冰
rlbb 如履薄冰
rld 如临大敌
rldd 如临大敌
rle 日落而息
rlex 日落而息
rlf 人来疯
rlfg 人来疯
rlfo 如来佛
rlg 如雷贯耳
rlge 如雷贯耳
rlh 热烈欢迎
rlhy 热烈欢迎
rli 人力成本
rlib 人力成本
rlij 人老成精
rlj 绕了几圈
rljq 绕了几圈
rll 人流量
rlll 人流量
rlp 如履平地
rlpd 如履平地
rlr 揉了揉
rlrq 绕来绕去
rlrw 人来人往
rlry 任劳任怨
rlrz 揉了揉
rls 如狼似虎
rlsh 如狼似虎
rlsr 绕梁三日
rlu 扰乱视听
rlut 扰乱视听
rluy 如临深渊
rlv 人老珠黄
rlvh 人老珠黄
rlw 日理万机
rlwj 日理万机
rlwl 人力物力
rlwm 人类文明
rlx 人类学
rlxj 人类学家
rlxt 人类学
rlxu 日落西山
rly 热泪盈眶
rlyk 热泪盈眶
rlyq 绕了一圈
rlz 人力资源
rlzl 肉烂在锅里
rlzy 人力资源
rm 人们
rmb 人民币
rmbi 人民币
rmd 人民大学
rmdu 如蒙大赦
rmdx 人民大学
rmf 如梦方醒
rmfx 如梦方醒
rmg 人命关天
rmgt 人命关天
rmgx 人脉关系
rmgy 人模狗样
rmi 如沐春风
rmif 如沐春风
rmix 如梦初醒
rmm 软绵绵
rmmm 软绵绵
rmq 人民群众
rmqv 人民群众
rmr 人模人样
rmra 若明若暗
rmrh 如梦如幻
rmry 人模人样
rms 入木三分
rmsf 入木三分
rmsh 如梦似幻
rmt 人面桃花
rmth 人面桃花
rmtq 日暮途穷
rmu 人面兽心
rmux 人面兽心
rmuy 戎马生涯
rmv 人民政府
rmvb 入幕之宾
rmvf 人民政府
rmvj 燃眉之急
rmw 人满为患
rmwh 人满为患
rmx 日暮乡关何处是
rmxu 日暮乡关何处是
rmy 软磨硬泡
rmyd 人莫予毒
rmyh 人民银行
rmyp 软磨硬泡
rmyu 戎马一生
rmyx 茹毛饮血
rmz 如芒在背
rmzb 如芒在背
rn 热闹
rnbv 忍耐不住
rnl 忍耐力
rnli 忍耐力
rnr 热闹热闹
rnrn 热闹热闹
rns 如你所愿
rnsy 如你所愿
rnu 如鸟兽散
rnus 如鸟兽散
rnw 日内瓦
rnwa 日内瓦
rnx 阮囊羞涩
rnxs 阮囊羞涩
ro 若
rob 若不
robu 若不
roc 鄀
rocd 蒻
roce 鄀
roch 爇
rock 若
rod 弱点
roda 偌大
rodm 弱点
rodv 弱队
rof 若非
rofw 若非
rog 弱
rogd 弱
rogj 若干
rogo 弱国
rogr 弱冠
roh 弱化
rohe 若何
rohx 弱化
roj 弱碱
rojm 弱碱
rol 弱旅
rolv 弱旅
ron 婼
rong 若能
ronk 婼
ror 偌
rork 偌
roro 弱弱
rosr 弱酸
rou 若是
roui 弱势
rouo 若说
rov 箬
rove 弱者
rovi 弱智
rovk 箬
rowu 若无
rox 弱小
roxl 弱项
roxn 弱小
roxu 若需
roy 叒
royc 若要
royu 弱于
royy 叒
royz 若有
roz 若再
rozd 若再
rp 人品
rpd 人品低下
rpdx 人品低下
rpf 任凭风浪起
rpfq 任凭风浪起
rpi 人怕出名猪怕壮
rpiv 人怕出名猪怕壮
rpp 软趴趴
rppa 软趴趴
rpu 日偏食
rpui 日偏食
rq 日期
rqe 如期而至
rqev 如期而至
rqf 如蛆附骨
rqfg 如蛆附骨
rql 人去楼空
rqld 人情练达
rqlk 人去楼空
rqln 人情冷暖
rqlv 人情练达即文章
rqm 柔情蜜意
rqmv 人强马壮
rqmy 柔情蜜意
rqq 热气球
rqqq 热气球
rqr 如泣如诉
rqrh 人前人后
rqrl 入情入理
rqrs 如泣如诉
rqs 柔情似水
rqsu 柔情似水
rqt 热气腾腾
rqtt 热气腾腾
rqtu 忍气吞声
rqu 日全食
rqug 人情世故
rqui 日全食
rqux 如期实现
rqv 人情债
rqvd 人穷志短
rqw 人情味
rqwi 如期完成
rqwq 人弃我取
rqww 人情味
rqx 认清现实
rqxu 认清现实
rqy 日清月结
rqyj 日清月结
rqyy 热情洋溢
rqz 绕圈子
rqzc 燃气灶
rqzi 绕圈子
rqzr 任其自然
rr 软 仍然
rrb 任人摆布
rrbb 任人摆布
rrbj 荣辱不惊
rrbr 如若不然
rrd 软蛋
rrdj 软蛋
rrdr 软缎
rrdv 人人得而诛之
rre 阮
rree 阮
rrex 日入而息
rrf 忍辱负重
rrfr 人若犯我，我必犯人
rrfu 如日方升
rrfv 忍辱负重
rrfw 人若犯我
rrg 软骨
rrgc 软膏
rrgr 软管
rrgu 软骨
rrh 软化
rrhd 人人喊打
rrhg 忍辱含垢
rrhh 热热乎乎
rrho 软和
rrhx 软化
rri 软
rrii 软尺
rril 软床
rrir 软
rrj 软件
rrjb 软禁
rrjm 软件
rrjv 人人皆知
rrjz 仁人君子
rrkq 软弱可欺
rrl 软了
rrle 软了
rrlw 软肋
rrn 媆
rrnd 媆
rrnn 热热闹闹
rro 朊
rroe 朊
rrp 软盘
rrpd 人人平等
rrpj 软盘
rrq 扰人清梦
rrqm 人如其名
rrqq 忍辱求全
rrqu 弱肉强食
rrr 软弱
rrro 软弱
rrrr 软软
rrt 堧
rrtd 堧
rrti 软体
rrtu 忍辱偷生
rru 热热身
rruf 热热身
rruq 冉冉升起
rruv 软水
rrv 如日中天
rrvl 容人之量
rrvt 如日中天
rrvu 仁人志士
rrvv 认认真真
rrw 瓀
rrwe 瓀
rrwf 软文
rrwg 柔若无骨
rrwj 如入无人之境
rrwl 软弱无力
rrwn 软弱无能
rrwo 软卧
rrwq 任人唯亲
rrwr 人人为我，我为人人
rrwx 任人唯贤
rrx 柔韧性
rrxa 惹人喜爱
rrxh 让人笑话
rrxi 软席
rrxk 柔韧性
rry 软硬
rryg 荣辱与共
rryk 软硬
rryu 软玉
rryy 日日夜夜
rryz 人人有责
rrz 软座
rrzg 任人宰割
rrzo 软座
rrzw 人人自危
rs 容
rsa 融
rsai 融
rsb 冗
rsbj 冗
rsbk 融冰
rsbs 人算不如天算
rsbu 绒布
rsc 荣
rsce 茸
rsck 蓉
rscm 荣
rsco 容错
rsd 溶
rsdk 溶
rsdm 熔点
rsdr 熔断
rsds 溶洞
rse 嵘
rsem 嵘
rsfj 冗繁
rsg 戎
rsgl 荣光
rsgu 戎
rsgv 人所共知
rsh 熔
rshe 融合
rshk 熔
rsho 荣获
rshv 融汇
rshx 融化
rsi 蝾
rsih 冗长
rsim 蝾
rsj 镕
rsji 溶剂
rsjk 镕
rsjp 溶解
rsjy 乳酸菌
rsk 绒裤
rskb 如丧考妣
rsku 绒裤
rsl 热死了
rsle 热死了
rsli 荣立
rsll 容量
rslm 熔炼
rslq 容留
rslu 熔炉
rsm 榕
rsma 戎马
rsmc 容貌
rsmk 榕
rsn 容纳
rsna 容纳
rsq 狨
rsqi 容器
rsqr 融券
rsqu 狨
rsqx 融洽
rsr 容忍
rsrf 容忍
rsrh 容让
rsrm 人死如灯灭
rsrs 润色润色
rsru 融入
rss 绒
rssu 绒
rst 染色体
rsti 染色体
rsts 融通
rsu 容身
rsuf 容身
rsug 荣升
rsuu 榕树
rsv 戎装
rsvl 戎装
rsvu 熔铸
rsvv 冗赘
rsw 瑢
rswk 瑢
rsx 荣幸
rsxk 荣幸
rsxu 容许
rsy 容易
rsyc 荣耀
rsye 溶液
rsyi 容易
rsyj 容颜
rsyk 荣膺
rsyn 日思夜念
rsyr 蝾螈
rsyu 荣誉
rsyx 日思夜想
rsz 融资
rsza 冗杂
rszi 融资
rt 认同
rtc 人同此心
rtcd 人头攒动
rtcx 人同此心
rtg 忍痛割爱
rtga 忍痛割爱
